Node 1	Node 2	Combined score (>=0.9)	Final action (+/-1)	Curated confidence of ALS relationship (1-5)	Article URL	Keyword
NPBWR1	GPR17	0.9				
PLXNA3	RRAS	0.919				
NPY2R	SSTR5	0.9				
CYP2C19	CYP3A4	0.934				
NCL	TP53	0.978				
APAF1	CASP2	0.922				
CACNA1A	CACNB4	0.975				
UBC	TRIM21	0.999				
PPP3CA	CYCS	0.909				
CACNA1S	CACNB3	0.914				
SREBF2	FDFT1	0.966				
MAPK12	MAPK13	0.907				
SUPT6H	SUPT4H1	0.906				
PPP3CB	PPP3CC	0.903				
CACNB4	CACNB3	0.903				
CYP3A4	GSTZ1	0.912				
CCS	SOD1	0.977				
PKP1	DSC1	0.962				
CYCS	BCL2L1	0.913				
HLA-A	UBC	0.965				
MAP3K5	TNFRSF1A	0.933				
BMPR1A	TAB1	0.967				
AHR	ESR1	0.996				
SMN1	SNRPG	0.942				
BCL2	BAX	0.999				
XDH	CAT	0.951				
GRIN2B	NEFL	0.908				
GAST	P2RY2	0.904				
RAC1	SEMA3A	0.938				
CDK5R1	DPYSL2	0.912				
POLD1	RFC1	0.994				
FGFR1	GPC1	0.929				
UBC	TP53	0.999				
BMPR2	BMPR1A	0.986				
RASGRF1	CDC42	0.933				
TNF	TNFSF13B	0.93				
MAP3K5	YWHAZ	0.974				
SRM	ABP1	0.918				
ERBB4	ERBB2	0.987				
PPIA	PPP3CB	0.918				
CASP9	CYCS	0.943				
PLXNA3	SEMA3A	0.94				
GAST	TACR3	0.9				
TACR2	TACR1	0.905				
VCP	DERL1	0.999				
RAC1	GPC1	0.906				
MEN1	GFAP	0.924				
INTS4	KIAA0513	0.956				
UBC	TGFB1	0.933				
BID	BAX	0.99				
POMC	SRD5A2	0.908				
ONECUT1	KAT2B	0.928				
SF3B3	FUS	0.909				
PNPT1	NME4	0.912				
P2RY2	GPR17	0.904				
UBC	TAB3	0.999				
NR4A1	ESR1	0.906				
TCEA1	CDK9	0.985				
CTNNB1	CDC42	0.939				
HSP90AA1	ESR1	0.999				
UBA7	TRIM25	0.911				
ADRBK1	HTR2B	0.902				
TACR3	BDKRB1	0.9				
APAF1	HSP90AA1	0.94				
KLF4	CTNNB1	0.926				
